IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
211.114.223.43,38002,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,403,3.57
182.225.8.184,36157,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,424,3.56
180.67.14.136,37213,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,414,3.55
112.152.52.240,37996,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,408,3.55
8.210.130.11,49025,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",553,3.53
121.183.17.222,36282,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,407,3.53
222.111.243.188,38836,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,404,3.51
61.73.152.230,39158,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,416,3.51
175.200.121.85,39946,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,652,3.49
112.187.207.236,36371,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,729,3.49
59.22.44.19,37351,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,363,3.49
112.152.52.240,38672,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,426,3.49
121.163.220.247,37723,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,387,3.48
220.83.127.148,36198,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,379,3.48
182.210.222.7,36790,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,423,3.48
121.179.68.136,37079,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,439,3.48
221.159.203.188,36980,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,403,3.47
211.224.253.170,38736,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,396,3.47
1.222.68.205,37145,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,429,3.47
211.192.242.211,36323,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,669,3.46
147.78.247.212,51722,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,549,3.46
59.22.44.19,37058,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,3.46
59.22.44.19,37289,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,382,3.46
121.179.68.136,39173,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,399,3.45
125.143.31.169,38043,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,415,3.44
121.179.68.136,38368,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,371,3.44
121.179.68.136,38015,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,3.43
112.219.136.229,37342,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,401,3.41
211.46.225.120,38462,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,398,3.41
211.224.253.170,36975,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,390,3.40
121.162.197.175,36514,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,432,3.40
61.84.231.128,37192,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,663,3.40
210.204.133.179,37065,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,438,3.38
121.187.111.13,36676,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,481,3.38
183.105.100.125,36243,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,393,3.38
106.252.227.66,39201,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,405,3.36
59.17.109.133,39349,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,409,3.36
121.175.54.166,39496,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,356,3.30
45.66.131.67,46788,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,544,3.29
211.250.155.181,39449,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,398,3.27
49.170.219.179,37055,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,385,3.26
121.183.17.222,39050,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,464,3.25
211.224.253.170,39572,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,434,3.25
45.66.129.126,46634,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,561,3.24
8.217.121.219,49025,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",527,3.23
221.158.190.76,39442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,385,3.22
119.201.234.228,39958,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,394,3.22
182.225.8.184,38316,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,434,3.22
106.252.227.66,39350,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,415,3.18
210.204.133.179,39699,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,424,3.17
182.210.222.7,39244,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,431,3.17
14.33.44.219,38683,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,680,3.14
211.42.210.76,39045,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,427,3.14
