IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
8.222.180.86,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",280,10.73
8.222.168.234,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",283,10.59
8.222.215.228,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",281,10.57
154.197.121.67,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,636,10.53
154.197.121.66,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,604,10.39
8.219.77.91,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",270,10.31
154.197.121.72,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,626,10.28
154.197.121.76,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,676,10.27
47.236.104.11,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",465,10.20
154.197.121.91,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,644,10.17
159.223.69.91,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,449,10.10
168.138.185.28,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,731,10.09
51.79.224.55,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16276,OVH SAS,281,10.05
8.219.208.69,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",446,9.95
47.236.79.77,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",351,9.71
154.197.121.65,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,624,9.60
8.219.66.156,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",427,9.56
154.197.121.8,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,654,9.48
154.197.121.68,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,621,9.47
47.236.65.177,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",346,9.45
47.236.97.254,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",378,9.32
158.178.246.169,8443,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,760,9.26
47.236.150.109,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",459,9.25
194.36.179.81,8443,TRUE,SIN,SG,Asia Pacific,Singapore,200740,First Server Limited,263,9.25
213.35.99.118,45681,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,717,9.24
8.213.209.234,34237,TRUE,BKK,TH,Asia Pacific,Bangkok,45102,"Alibaba US Technology Co., Ltd.",381,9.02
165.22.61.25,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,447,8.71
154.197.121.96,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,630,8.61
47.236.145.180,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",353,8.60
47.236.87.246,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",449,8.60
8.219.215.12,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",365,8.56
8.219.174.213,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",456,8.52
8.219.193.202,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",467,8.49
79.99.28.160,8443,TRUE,SEA,US,North America,Seattle,209242,"Cloudflare London, LLC",617,8.49
154.197.121.86,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,638,8.36
8.219.157.97,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",365,8.31
47.236.144.48,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",359,8.30
8.222.224.162,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",281,8.21
154.197.121.75,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,628,8.19
154.197.121.97,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,623,8.19
47.236.130.95,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",381,8.14
47.236.75.113,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",385,8.13
178.128.89.45,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,389,8.09
185.225.20.166,15611,TRUE,SIN,SG,Asia Pacific,Singapore,61112,AKILE LTD,401,8.08
154.197.121.59,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,636,7.86
