IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
220.77.125.42,50035,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,345,6.48
116.120.167.173,50040,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,306,6.48
175.202.123.41,39874,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,335,6.47
123.111.152.207,50028,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,313,6.47
210.223.31.72,39915,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,6.45
183.96.44.155,39886,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,329,6.45
125.208.118.245,50025,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,292,6.44
121.152.127.130,45013,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,296,6.44
121.149.108.131,39857,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,305,6.43
121.170.103.123,39995,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,311,6.42
218.147.189.163,50025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,334,6.42
221.146.248.129,39855,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,340,6.41
220.94.35.240,50025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,361,6.41
211.213.219.26,39901,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,326,6.41
121.154.218.83,50034,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.40
211.228.190.134,39846,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,301,6.40
118.38.198.2,39894,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,320,6.40
118.41.163.140,39920,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,328,6.39
183.96.62.61,39978,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,350,6.38
14.54.63.38,50030,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,339,6.37
